instruction,input,output
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server on port 8888 with /api showing ""json api"" and a guestbook CRUD with name and msg+","use web
listen 8888
/api ""json api""
crud guestbook name msg+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, expose an endpoint on port 3000 with a /about page with ""about this server"", /version returning ""v0.1"" and /health that shows ""healthy""","use web
listen 3000
/about ""about this server""
/version ""v0.1""
/health ""healthy"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, create a CRUD app for todos with task and status, port 9999","use web
listen 9999
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build me a user CRUD on port 8080 (username and role) please,"use web
listen 8080
crud user username role"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I need a terminal tool called serve to serve static files,"use cli
name ""serve""
desc ""serve static files""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",command-line calc tool for simple calculator,"use cli
name ""calc""
desc ""simple calculator""
flag verbose -v ""show steps""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Create a link database app at port 9999 storing name and href,"use web
listen 9999
crud link name href"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 9999 that has /status showing ""ok"" plus /health showing ""up"" and a link manager (title and url)","use web
listen 9999
/status ""ok""
/health ""up""
crud link title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a JSON REST API running on port 5000 for CRUD operations on bookmarks with title, url","use rest
listen 5000
model bookmark title url
GET /bookmarks list bookmark
POST /bookmarks create bookmark
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, deploy a web server on port 5000 that handles requests for /status returning ""healthy"", a /health page with ""up"", /api that shows ""json api"" and /about that shows ""about this server""","use web
listen 5000
/status ""healthy""
/health ""up""
/api ""json api""
/about ""about this server"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","HTTP server on 5000 with pages /hello showing ""hi!""; /health showing ""up"" and CRUD for messages (from and text+)","use web
listen 5000
/hello ""hi!""
/health ""up""
crud message from text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I need a website on port 9000 with a / page with ""it works!"", /api returning ""rest endpoint""","use web
listen 9000
/ ""it works!""
/api ""rest endpoint"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please web server on port 8080 with /hello showing ""hello!"" and a task CRUD with name and priority","use web
listen 8080
/hello ""hello!""
crud task name priority"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","give me a web server at port 9090 that has / that shows ""main page""","use web
listen 9090
/ ""main page"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build an API on port 9090 managing messages and tasks please,"use rest
listen 9090
model message from to body
model task title status priority
GET /messages list message
POST /messages create message
GET /tasks list task
POST /tasks create task"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",terminal tool called cat to concatenate files,"use cli
name ""cat""
desc ""concatenate files""
flag blank -b ""skip blank lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","deploy a web server on port 8888 that handles requests for a /health page with ""alive"", /api returning ""json api"", /about returning ""built with el-stupido"", plus /status returning ""running""","use web
listen 8888
/health ""alive""
/api ""json api""
/about ""built with el-stupido""
/status ""running"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you build a server on port 9000 with /health saying ""ok"" and /api returning ""json api""","use web
listen 9000
/health ""ok""
/api ""json api"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please HTTP server on 80 with pages /api showing ""json api"" and CRUD for entrys (key and value)","use web
listen 80
/api ""json api""
crud entry key value"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you make a server on port 3000 with /health saying ""ok""","use web
listen 3000
/health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","create a CRUD app for posts with title and body+, port 9000","use web
listen 9000
crud post title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please build a server on port 8080 that has /health showing ""healthy"" and a message manager (from and text+)","use web
listen 8080
/health ""healthy""
crud message from text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","JSON API on 8000 for users (username, email, role) and comments (user, text)","use rest
listen 8000
model user username email role
model comment user text
GET /users list user
POST /users create user
GET /comments list comment
POST /comments create comment
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",develop a serve utility for serving static files,"use cli
name ""serve""
desc ""serve static files""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","http server on 3000 with pages / showing ""hi there"" and crud for notes (title and body+)","use web
listen 3000
/ ""hi there""
crud note title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",terminal tool called head to show first lines,"use cli
name ""head""
desc ""show first lines""
arg count ""number of lines""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",command-line calc tool for simple calculator,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Web server on port 443 with /about showing ""a tiny web server"" and a note CRUD with name and content+","use web
listen 443
/about ""a tiny web server""
crud note name content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build an api on port 8888 for events (name, date, location)","use rest
listen 8888
model event name date location
GET /events list event
POST /events create event
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please make a web server on port 8888 with ""ok"" at /status, /version saying ""0.0.1"", a /api page with ""json api""","use web
listen 8888
/status ""ok""
/version ""0.0.1""
/api ""json api"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","task api on 5000: title, status, priority","use rest
listen 5000
model task title status priority
GET /tasks list task
POST /tasks create task"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please expose an endpoint on port 8000 with /api that shows ""json api"" plus /hello saying ""hey there""","use web
listen 8000
/api ""json api""
/hello ""hey there"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please REST API on port 4000 with comments (user, text) and posts (title, body, author)","use rest
listen 4000
model comment user text
model post title body author
GET /comments list comment
POST /comments create comment
GET /posts list post
POST /posts create post
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Web server on port 8080 with /api showing ""json api"" and a user CRUD with name and email","use web
listen 8080
/api ""json api""
crud user name email"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want to manage posts with title and body+ fields, serve on 9999","use web
listen 9999
crud post title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I need an API for todos on port 80 with title, done","use rest
listen 80
model todo title done
GET /todos list todo
POST /todos create todo"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I want a CLI program called grep to search files for patterns,"use cli
name ""grep""
desc ""search files for patterns""
flag verbose -v ""enable verbose output""
flag count -c ""show count only""
arg pattern ""regex pattern""
arg file ""file to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","multi-model API on port 80: comment (user, text) + product (name, price)","use rest
listen 80
model comment user text
model product name price
GET /comments list comment
POST /comments create comment
GET /products list product
POST /products create product
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want a web server on port 9090 with /status returning ""running"", /health that shows ""ok""","use web
listen 9090
/status ""running""
/health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","set up a REST service at 8888 for todos: title, done please","use rest
listen 8888
model todo title done
GET /todos list todo
POST /todos create todo
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","i need an api on port 4000 with two models: post (title, body, author) and event (name, date, location)","use rest
listen 4000
model post title body author
model event name date location
GET /posts list post
POST /posts create post
GET /events list event
POST /events create event"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","website on 5000: /about showing ""built with el-stupido"", plus manage notes with title and body+","use web
listen 5000
/about ""built with el-stupido""
crud note title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, server on port 8080 with /status showing ""healthy"" and user tracking (name and email)","use web
listen 8080
/status ""healthy""
crud user name email"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","make a REST API for users on port 4000 with fields username, email, role","use rest
listen 4000
model user username email role
GET /users list user
POST /users create user
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please develop a grep utility for searching files for patterns,"use cli
name ""grep""
desc ""search files for patterns""
flag verbose -v ""enable verbose output""
flag ignore_case -i ""case insensitive""
arg pattern ""regex pattern""
arg file ""file to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please data entry app for bookmarks (name and link) on port 5000,"use web
listen 5000
crud bookmark name link"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build me a todo crud on port 8000 (title/done),"use web
listen 8000
crud todo title done"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, web server on port 5000 with /health showing ""ok"" and a item CRUD with title and desc","use web
listen 5000
/health ""ok""
crud item title desc"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, make a entry app with fields title and body+ on port 3000","use web
listen 3000
crud entry title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",create a unix-style tool called calc to simple calculator,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 443 that has /about showing ""about this server"" and a guestbook manager (name and msg+)","use web
listen 443
/about ""about this server""
crud guestbook name msg+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a bookmark manager on port 443, fields: title and url","use web
listen 443
crud bookmark title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",create a unix-style tool called wc to count words in files please,"use cli
name ""wc""
desc ""count words in files""
flag words -w ""count words only""
flag bytes -b ""count bytes""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server on port 9000 with /hello showing ""hello!"", /status showing ""healthy"" and a bookmark CRUD with name and link","use web
listen 9000
/hello ""hello!""
/status ""healthy""
crud bookmark name link"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",set up a comment form on port 5000 that saves user/text+,"use web
listen 5000
crud comment user text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","REST API on port 4000 with todos (title, done) and items (name, desc, price)","use rest
listen 4000
model todo title done
model item name desc price
GET /todos list todo
POST /todos create todo
GET /items list item
POST /items create item
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly build a server on port 5000 that has /hello showing ""hello!"" and a todo manager (task and status)","use web
listen 5000
/hello ""hello!""
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","server on port 8888 with /api showing ""rest endpoint"" and user tracking (username and role)","use web
listen 8888
/api ""rest endpoint""
crud user username role"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","full CRUD for messages on 8080, fields are from/text+","use web
listen 8080
crud message from text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","make a REST API for messages on port 8000 with fields from, to, body","use rest
listen 8000
model message from to body
GET /messages list message
POST /messages create message"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Bookmark api on 443: title, url","use rest
listen 443
model bookmark title url
GET /bookmarks list bookmark
POST /bookmarks create bookmark"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, make me a ping utility that checking host availability","use cli
name ""ping""
desc ""check host availability""
flag verbose -v ""show details""
flag count -c ""ping count""
arg host ""hostname or IP"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please I want to manage bookmarks with title and url fields, serve on 4000","use web
listen 4000
crud bookmark title url"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want to manage links with name, href fields, serve on 3000","use web
listen 3000
crud link name href"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",program cat that concatenate files from the terminal,"use cli
name ""cat""
desc ""concatenate files""
flag blank -b ""skip blank lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web server, port 5000, /status saying ""healthy"", ""hello!"" at /hello, plus /about that shows ""about us""","use web
listen 5000
/status ""healthy""
/hello ""hello!""
/about ""about us"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please please build a CLI program named ping for checking host availability,"use cli
name ""ping""
desc ""check host availability""
flag verbose -v ""show details""
arg host ""hostname or IP"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please write a command-line application named find whose purpose is to find files by name,"use cli
name ""find""
desc ""find files by name""
flag hidden -h ""include hidden files""
flag recursive -r ""search recursively""
arg pattern ""file pattern""
arg dir ""directory to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","stand up an http listener on 4000 serving ""api v1"" at /api, ""el-stupido web server"" at /about, plus a /version page with ""v1.0""","use web
listen 4000
/api ""api v1""
/about ""el-stupido web server""
/version ""v1.0"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","rest note title, content on 80","use rest
listen 80
model note title content
GET /notes list note
POST /notes create note
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please host pages on port 80: / saying ""welcome!"", /health saying ""healthy"", /hello that shows ""hi!"", /version saying ""1.0.0""","use web
listen 80
/ ""welcome!""
/health ""healthy""
/hello ""hi!""
/version ""1.0.0"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 5000 that has /api showing ""api v1"" and a note manager (title and body+)","use web
listen 5000
/api ""api v1""
crud note title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","full CRUD for users on 5000, fields are username and role","use web
listen 5000
crud user username role"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","item manager with title, desc on port 8888","use web
listen 8888
crud item title desc"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web 8000 /version returning ""0.0.1""; ""about this server"" at /about","use web
listen 8000
/version ""0.0.1""
/about ""about this server"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, server on port 9000 with / showing ""greetings"" and item tracking (title and desc)","use web
listen 9000
/ ""greetings""
crud item title desc"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","create an HTTP server listening on 3000 that serves / that shows ""hi there""; a /version page with ""v0.1""; /api that shows ""rest endpoint""; /status saying ""all systems go""","use web
listen 3000
/ ""hi there""
/version ""v0.1""
/api ""rest endpoint""
/status ""all systems go"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",program calc that simple calculator from the terminal,"use cli
name ""calc""
desc ""simple calculator""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","web 3000 /health returning ""up""","use web
listen 3000
/health ""up"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",cli sort for sorting lines of text,"use cli
name ""sort""
desc ""sort lines of text""
flag numeric -n ""numeric sort""
flag reverse -r ""reverse sort""
flag unique -u ""unique lines only""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","can you make a server on port 5000 with / returning ""server is running""","use web
listen 5000
/ ""server is running"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","i want to manage todos with task/status fields, serve on 9090","use web
listen 9090
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","serve on port 9999: /status saying ""all systems go"", a /hello page with ""hey there""","use web
listen 9999
/status ""all systems go""
/hello ""hey there"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","rest task title, status, priority on 3000","use rest
listen 3000
model task title status priority
GET /tasks list task
POST /tasks create task"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please I'd like a terminal utility called grep that can search files for patterns,"use cli
name ""grep""
desc ""search files for patterns""
flag verbose -v ""enable verbose output""
flag count -c ""show count only""
flag ignore_case -i ""case insensitive""
arg pattern ""regex pattern""
arg file ""file to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, I want a guestbook web app on port 9000 with name and msg+","use web
listen 9000
crud guestbook name msg+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","api 3000 bookmark title, url","use rest
listen 3000
model bookmark title url
GET /bookmarks list bookmark
POST /bookmarks create bookmark
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","give me a JSON API to manage users on port 80, fields: username, email, role","use rest
listen 80
model user username email role
GET /users list user
POST /users create user"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Server on port 80 with /health showing ""ok"" and /hello showing ""hi!"" and task tracking (title and status)","use web
listen 80
/health ""ok""
/hello ""hi!""
crud task title status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly give me a web server at port 9999 that has ""el-stupido web server"" at /about, /version saying ""v1.0"", /api saying ""json api"", plus a /health page with ""ok""","use web
listen 9999
/about ""el-stupido web server""
/version ""v1.0""
/api ""json api""
/health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a server on port 3000 that has /hello showing ""hello!"" and a post manager (author and content+)","use web
listen 3000
/hello ""hello!""
crud post author content+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",develop a serve utility for serving static files please,"use cli
name ""serve""
desc ""serve static files""
arg port ""port number""
arg dir ""directory to serve"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build an API on port 5000 managing posts and comments please,"use rest
listen 5000
model post title body author
model comment user text
GET /posts list post
POST /posts create post
GET /comments list comment
POST /comments create comment"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","website on 8080: /health showing ""healthy""; / showing ""hello from el-stupido!"", plus manage links with name and href","use web
listen 8080
/health ""healthy""
/ ""hello from el-stupido!""
crud link name href"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","please create a REST service on port 80 that handles posts with title, body, author and comments with user, text","use rest
listen 80
model post title body author
model comment user text
GET /posts list post
POST /posts create post
GET /comments list comment
POST /comments create comment
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please I need a terminal tool called calc to simple calculator,"use cli
name ""calc""
desc ""simple calculator""
flag verbose -v ""show steps""
arg expr ""math expression"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I'd like a CLI program called cat to concatenate files,"use cli
name ""cat""
desc ""concatenate files""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like a JSON REST API running on port 8888 for CRUD operations on tasks with title, status, priority","use rest
listen 8888
model task title status priority
GET /tasks list task
POST /tasks create task
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",console app called cat for concatenate files,"use cli
name ""cat""
desc ""concatenate files""
flag number -n ""number lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly I want a REST endpoint for comments at port 8080 with user, text","use rest
listen 8080
model comment user text
GET /comments list comment
POST /comments create comment
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'd like to manage todos with task/status fields, serve on 9000","use web
listen 9000
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",build a sort command that sorting lines of text,"use cli
name ""sort""
desc ""sort lines of text""
flag unique -u ""unique lines only""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","simple message app at port 9999 with sender, body+ fields","use web
listen 9999
crud message sender body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I need a terminal tool called head to show first lines,"use cli
name ""head""
desc ""show first lines""
flag quiet -q ""suppress headers""
arg count ""number of lines""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","server on port 80 with /about showing ""el-stupido web server""; /hello showing ""hello world"" and todo tracking (task and status)","use web
listen 80
/about ""el-stupido web server""
/hello ""hello world""
crud todo task status"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",please create a item database app at port 9999 storing title and desc,"use web
listen 9999
crud item title desc"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly HTTP server on 3000 with pages /api showing ""rest endpoint"" plus /status showing ""running"" and CRUD for entrys (title and body+)","use web
listen 3000
/api ""rest endpoint""
/status ""running""
crud entry title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",quickly persistent bookmark app on 8888 with name/link,"use web
listen 8888
crud bookmark name link"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","Multi-model API on port 8888: user (username, email, role) + item (name, desc, price)","use rest
listen 8888
model user username email role
model item name desc price
GET /users list user
POST /users create user
GET /items list item
POST /items create item"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I'm looking for a simple web server that listens on port 8000 and serves a / page with ""hello from el-stupido!"", /health saying ""healthy"", ""hello world"" at /hello, /status saying ""ok""","use web
listen 8000
/ ""hello from el-stupido!""
/health ""healthy""
/hello ""hello world""
/status ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",message manager with sender and body+ on port 3000,"use web
listen 3000
crud message sender body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","quickly spin up an HTTP server on port 80 with ""hello world"" at / and a /about page with ""about this server""","use web
listen 80
/ ""hello world""
/about ""about this server"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Create a comment database app at port 8888 storing author/body+,"use web
listen 8888
crud comment author body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",can you create a grep command for searching files for patterns please,"use cli
name ""grep""
desc ""search files for patterns""
flag verbose -v ""enable verbose output""
flag ignore_case -i ""case insensitive""
flag count -c ""show count only""
arg pattern ""regex pattern""
arg file ""file to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",create a comment database app at port 8000 storing user and text+,"use web
listen 8000
crud comment user text+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I'd like a terminal utility called hash that can compute file hash,"use cli
name ""hash""
desc ""compute file hash""
flag sha256 -s ""use sha256""
flag md5 -m ""use md5""
arg file ""file to hash"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","build a entry manager on port 9000, fields: title/body+","use web
listen 9000
crud entry title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","hey, I need a terminal tool called sort to sort lines of text","use cli
name ""sort""
desc ""sort lines of text""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",terminal tool called sort to sort lines of text,"use cli
name ""sort""
desc ""sort lines of text""
flag unique -u ""unique lines only""
flag numeric -n ""numeric sort""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",persistent note app on 8080 with title/body+,"use web
listen 8080
crud note title body+"
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","stand up an HTTP listener on 9999 serving / returning ""server is running""; a /version page with ""v0.1""; /about saying ""about this server""; ""hi!"" at /hello","use web
listen 9999
/ ""server is running""
/version ""v0.1""
/about ""about this server""
/hello ""hi!"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Terminal tool called cat to concatenate files,"use cli
name ""cat""
desc ""concatenate files""
flag number -n ""number lines""
flag blank -b ""skip blank lines""
arg file ""file to read"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",I need a terminal tool called find to find files by name,"use cli
name ""find""
desc ""find files by name""
flag recursive -r ""search recursively""
arg pattern ""file pattern""
arg dir ""directory to search"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.","I want a REST endpoint for users at port 9999 with name, email","use rest
listen 9999
model user name email
GET /users list user
POST /users create user
GET /health ""ok"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",command-line sort tool for sorting lines of text,"use cli
name ""sort""
desc ""sort lines of text""
flag reverse -r ""reverse sort""
flag unique -u ""unique lines only""
flag numeric -n ""numeric sort""
arg file ""input file"""
"Convert the request into el-stupido codebook syntax. Output ONLY the codebook code, nothing else.",Terminal tool called ping to check host availability,"use cli
name ""ping""
desc ""check host availability""
flag verbose -v ""show details""
arg host ""hostname or IP"""
